id,title,subtitle,authors,publisher,publishedDate,description,pageCount,categories,averageRating,ratingsCount,language,isbn10,isbn13,thumbnail,previewLink,infoLink
-CQuwfUtEzcC,Non-Fiction Text Structures for Better Comprehension and Response,,Gail Saunders-Smith,"Maupin House Publishing, Inc.",2009,"Non-fiction text structures organize information into comprehensible patterns. Knowing how to recognize and use these structures to navigate non-fiction text greatly improves students' understanding of what they read. Gail Saunders-Smith simplifies the process by providing teachers of grades 4-8 with: ways to teach each of the five non-fiction text structures: compare/contrast, cause/effect, sequence/procedure, question/answer, and exemplification; engaging whole-class and small-group activities using written, verbal, image, three-dimensional, and technology responses; study skills for locating, recording, and using information; tools for assessing student understanding, and explanations of the text features that organize information within the text structures; and mini-lessons for whole-class, small-group, and independent application of students' text structure knowledge. Examples, photographs, student samples, and graphic organizers support your teaching, and a bibliography of professional books and resources for locating leveled non-fiction texts make this a complete, ready-to-use guide for improving student comprehension.",130.0,Education,,,en,1934338389,9781934338384,http://books.google.com/books/content?id=-CQuwfUtEzcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=-CQuwfUtEzcC&pg=PR5&dq=non+fiction&hl=&cd=1&source=gbs_api,http://books.google.co.in/books?id=-CQuwfUtEzcC&dq=non+fiction&hl=&source=gbs_api
eTQx-2VvovkC,Nonfiction Matters,"Reading, Writing, and Research in Grades 3-8",Stephanie Harvey,Stenhouse Publishers,1998,"A guide to bringing nonfiction into the curriculum in third through eighth-grade classrooms, with strategies and ideas for reading nonfiction, conducting research, and writing reports.",249.0,Education,3.0,1.0,en,1571100725,9781571100726,http://books.google.com/books/content?id=eTQx-2VvovkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=eTQx-2VvovkC&pg=PA70&dq=non+fiction&hl=&cd=2&source=gbs_api,http://books.google.co.in/books?id=eTQx-2VvovkC&dq=non+fiction&hl=&source=gbs_api
vULJEazkefUC,Nonfiction Strategies Grades 1-3,,Debra J. Housel,Teacher Created Resources,2002-06,"Lessons detailing how to read, write, discuss, research, remember, and listen to information from nonfiction sources give students the meaningful practice they need to master nonfiction comprehension skills. Strategies are correlated to McREL s Standards.",178.0,Education,,,en,0743932706,9780743932707,http://books.google.com/books/content?id=vULJEazkefUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=vULJEazkefUC&pg=PA2&dq=non+fiction&hl=&cd=3&source=gbs_api,http://books.google.co.in/books?id=vULJEazkefUC&dq=non+fiction&hl=&source=gbs_api
BclmS4eMv_8C,Access,,Wendy Wren,Nelson Thornes,2005,The aim of Nelson Thornes Framework English Access is to raise standards in writing for lower attainers. Access Skills in Fiction and Non-Fiction offers the rigour and support necessary to raise the attainment of students struggling through Years 7 - 10.,170.0,Language Arts & Disciplines,,,en,074879350X,9780748793501,http://books.google.com/books/content?id=BclmS4eMv_8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=BclmS4eMv_8C&pg=PP9&dq=non+fiction&hl=&cd=7&source=gbs_api,http://books.google.co.in/books?id=BclmS4eMv_8C&dq=non+fiction&hl=&source=gbs_api
jHFCDdmy7dIC,Landscapes,,Virginia A. Arnold,,1989,,756.0,Language arts (Elementary),,,en,0021753806,9780021753802,http://books.google.com/books/content?id=jHFCDdmy7dIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=jHFCDdmy7dIC&q=non+fiction&dq=non+fiction&hl=&cd=139&source=gbs_api,http://books.google.co.in/books?id=jHFCDdmy7dIC&dq=non+fiction&hl=&source=gbs_api
0Lc3AAAAMAAJ,Writer's Market,Where & how to Sell what You Write,"Glenda Tennant Neff, Robin Gee",,1988-09,,1090.0,Language Arts & Disciplines,,,en,0898793300,9780898793307,http://books.google.com/books/content?id=0Lc3AAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=0Lc3AAAAMAAJ&pg=PA81&dq=non+fiction&hl=&cd=173&source=gbs_api,http://books.google.co.in/books?id=0Lc3AAAAMAAJ&dq=non+fiction&hl=&source=gbs_api
hyfM4R8zbtkC,Interface Fantasy,A Lacanian Cyborg Ontology,Andre Nusselder,MIT Press,2009-09-11,"Behind our computer screens we are all cyborgs: through fantasy we can understand our involvement in virtual worlds. Cyberspace is first and foremost a mental space. Therefore we need to take a psychological approach to understand our experiences in it. In Interface Fantasy, André Nusselder uses the core psychoanalytic notion of fantasy to examine our relationship to computers and digital technology. Lacanian psychoanalysis considers fantasy to be an indispensable “screen” for our interaction with the outside world; Nusselder argues that, at the mental level, computer screens and other human-computer interfaces incorporate this function of fantasy: they mediate the real and the virtual. Interface Fantasy illuminates our attachment to new media: why we love our devices; why we are fascinated by the images on their screens; and how it is possible that virtual images can provide physical pleasure. Nusselder puts such phenomena as avatars, role playing, cybersex, computer psychotherapy, and Internet addiction in the context of established psychoanalytic theory. The virtual identities we assume in virtual worlds, exemplified best by avatars consisting of both realistic and symbolic self-representations, illustrate the three orders that Lacan uses to analyze human reality: the imaginary, the symbolic, and the real. Nusselder analyzes our most intimate involvement with information technology—the almost invisible, affective aspects of technology that have the greatest impact on our lives. Interface Fantasy lays the foundation for a new way of thinking that acknowledges the pivotal role of the screen in the current world of information. And it gives an intelligible overview of basic Lacanian principles (including fantasy, language, the virtual, the real, embodiment, and enjoyment) that shows their enormous relevance for understanding the current state of media technology.",185.0,Philosophy,,,en,0262266490,9780262266499,http://books.google.com/books/content?id=hyfM4R8zbtkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=hyfM4R8zbtkC&pg=PA3&dq=fantasy&hl=&cd=1&source=gbs_api,https://play.google.com/store/books/details?id=hyfM4R8zbtkC&source=gbs_api
FXuXz0SNjbEC,Fantasy Football and Mathematics,"A Resource Guide for Teachers and Parents, Grades 5 and Up",Dan Flockhart,John Wiley & Sons,2007-03-23,"Student create fantasy sports teams by picking real-life professional football players, and then follow their players' statistics and calculate their teams' total points using algebraic or nonalgebraic methods specifically designed to complement the math skills they are learning.",225.0,Education,,,en,0787994448,9780787994440,http://books.google.com/books/content?id=FXuXz0SNjbEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=FXuXz0SNjbEC&pg=PR21&dq=fantasy&hl=&cd=2&source=gbs_api,http://books.google.co.in/books?id=FXuXz0SNjbEC&dq=fantasy&hl=&source=gbs_api
eoLzEAAAQBAJ,"Final Fantasy Lost Stranger, Chapter 56",,Hazuki Minase,Yen Press LLC,2024-02-09,"Azuri has gone berserk, and to make matters worse, she can’t tell friend from foe in her confusion! Fortunately, her eyesight seems to be failing her, so as long as Shogo can keep quiet, he should be able to escape her wrath... Read the next chapter of Final Fantasy Lost Stranger the same day as Japan!",30.0,Comics & Graphic Novels,,,en,1975398475,9781975398477,http://books.google.com/books/content?id=eoLzEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.co.in/books?id=eoLzEAAAQBAJ&pg=PT29&dq=fantasy&hl=&cd=11&source=gbs_api,http://books.google.co.in/books?id=eoLzEAAAQBAJ&dq=fantasy&hl=&source=gbs_api
26q4gjzbZRsC,Final Fantasy VIII Official Strategy Guide,,David Cassady,BradyGames,1999,BradyGAMES-Final Fantasy VIII Official Strategy Guide Features: Detailed Walkthroughs Boss Strategies Item & Magic Lists Complete Bestiary and over 450 Full-Color Maps! The ONLY Official Guide! Platform: PlayStation Genre: RPG,274.0,Games & Activities,4.5,2.0,en,156686903X,9781566869034,http://books.google.com/books/content?id=26q4gjzbZRsC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.co.in/books?id=26q4gjzbZRsC&q=fantasy&dq=fantasy&hl=&cd=20&source=gbs_api,http://books.google.co.in/books?id=26q4gjzbZRsC&dq=fantasy&hl=&source=gbs_api
